yc_id,cluster
"3,201,679",0
"5,069,779",0
"6,563,250",1
"10,413,145",2
"5,070,561",0
"7,103,033",0
"8,681,542",1
"5,683,667",1
"11,261,083",0
"16,889,929",1
"17,182,284",1
"17,336,845",0
"16,002,483",1
"10,872,920",1
"11,402,236",1
"2,922,782",1
"5,739,887",0
"1,077,221",1
"1,518,678",2
"2,781,072",1
"4,797,124",1
"5,748,709",0
"9,020,603",1
"4,625,044",1
"12,998,921",1
"17,567,762",1
"3,366,842",0
"5,048,513",1
"4,632,491",0
"7,692,331",1
"14,081,856",0
"3,335,145",0
"3,936,879",2
"4,896,110",1
"5,380,014",0
"13,584,299",2
"2,494,822",1
"11,418,055",1
"15,792,437",2
"17,262,228",1
"3,210,810",1
"4,244,863",1
"13,523,240",1
"7,225,285",0
"11,045,350",1
"14,190,729",1
"5,069,765",0
"5,931,971",0
"7,660,587",0
"9,467,764",1
"1,323,678",0
"10,172,019",0
"12,211,174",1
"5,070,506",1
"7,601,226",1
"7,627,273",1
"12,411,109",1
"5,628,455",1
"12,257,819",0
"14,203,958",1
"15,522,964",1
"2,426,064",0
"9,858,367",1
"9,995,173",0
"13,978,679",1
"4,563,889",0
"5,767,030",1
"8,692,080",1
"12,214,338",1
"15,229,293",0
"15,634,449",1
"2,480,494",1
"2,481,598",1
"7,909,867",0
"13,031,876",0
"14,015,123",1
"16,903,226",1
"17,111,332",1
"2,531,148",0
"5,483,010",1
"8,975,494",0
"12,991,292",0
"14,222,720",1
"16,305,929",0
"10,897,556",2
"17,355,842",1
"17,500,142",1
"17,567,648",1
"2,609,113",1
"3,247,876",1
"3,438,523",0
"7,748,152",0
"8,010,277",1
"8,415,775",0
"13,973,093",1
"14,108,393",1
"16,729,488",1
"7,903,367",0
"17,599,246",1
"5,018,759",1
"16,471,853",1
"17,603,250",1
"3,040,865",1
"5,678,919",1
"14,020,582",0
"3,411,707",0
"9,915,274",1
"1,065,981",1
"12,211,165",1
"14,864,939",1
"17,725,762",1
"3,638,055",1
"5,684,846",1
"9,875,061",0
"14,282,344",1
"13,136,766",2
